item	classification	result	requirement	detail	evidence
0579	REQUIRED	P	Ordinary resident-command recovery	Token/operand/missing-file/collision/count cases in CCP matrix plus real no-space SAVE all return a usable prompt without executing colliding transients.	build/compatibility/gaps-20260908-004215/screens.txt
0580	PROFILE REQUIRED	-	Exact resident output presentation	Run /0580 with DRI-RES-PRES capture	followup/ERRTEST_SAFE_v2/screens.txt
0581	REQUIRED	F	Physical failure suspends the BDOS caller	Physical failure did not suspend caller	build/compatibility/run-20260907-234825/FAULTIO_VER_r/rows.txt
0582	REQUIRED	P	Logical failures return without physical-error intervention	All controlled logical failures returned without intervention	build/compatibility/run-20260908-002221/ERRTEST_GROUP:AUTOMATIC/rows.txt
0583	NOT GUARANTEED	O	Ignored directory-search result is not validation	Ignored search data is not validation	followup/ERRTEST_SAFE_v2/screens.txt
0584	NOT GUARANTEED	O	Ignored directory-update result is not persistence	Ignored directory update is not persistence	followup/ERRTEST_SAFE_v2/screens.txt
0585	NOT GUARANTEED	O	Post-ignore affected state is not a continuation contract	Post-ignore state has no continuation guarantee	followup/ERRTEST_SAFE_v2/screens.txt
0586	REQUIRED	BLOCKED	Physical-error abort abandons the interrupted caller	Prerequisite Bad Sector operator path is absent (0394/0581 fail); no ignore/abort prompt exists at which to conduct this test.	build/compatibility/run-20260907-234825/FAULTIO_VER_r/screens.txt
0587	REQUIRED	BLOCKED	Abort recovery establishes a usable command environment	Prerequisite Bad Sector operator path is absent (0394/0581 fail); no ignore/abort prompt exists at which to conduct this test.	build/compatibility/run-20260907-234825/FAULTIO_VER_r/screens.txt
0588	OUTSIDE SCOPE	-	Exact recovery internals are not part of the contract	Outside executable scope	captured/ENTRYTST_ALL/screens.txt
0589	REQUIRED	P	Loader ceiling and overlay TPA are distinct	BDOS ceiling lies above program	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0590	REQUIRED	P	CCP overlay invalidates ordinary RET assumptions	Full advertised TPA overwritten after adopting private stack; direct warm restart restored CCP/CPXs and a usable system, including a loaded RSX.	build/compatibility/final-tpa.log
0591	NOT GUARANTEED	O	System ownership is an application obligation	Application owns constraints	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0592	NOT GUARANTEED	O	Entry-stack storage may occupy overlayable memory	Entry stack may be overlayable	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0593	REQUIRED	P	Cold BOOT public postcondition	Gateways, drive, version and default DMA passed	build/compatibility/run-20260908-000734/BOOTMORE_C_A:BOOTMORE_V_r_VER_r/rows.txt
0594	NOT GUARANTEED	O	Cold BOOT does not promise blanket memory clearing	BOOT need not clear all memory	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0595	REQUIRED	P	WBOOT command-environment reconstruction	Gateways, drive, version and default DMA passed	build/compatibility/run-20260908-000734/BOOTMORE_W_A:BOOTMORE_V_r_VER_r/rows.txt
0596	NOT GUARANTEED	O	Residual state across WBOOT	Residual WBOOT state varies	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0597	NOT GUARANTEED	O	Console-pending state across WBOOT	Post-WBOOT console state varies	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0598	REQUIRED	P	BIOS vector is a public runtime ABI	WBOOT vector present at 0000h	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0599	REQUIRED	P	DPH structures are compatibility-visible	Function 31 returned a DPB	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0600	REQUIRED	P	Direct BIOS calls expose raw device behavior	Public BIOS setup/translation/DMA and real scratch-sector transfer/status verified independently of BDOS file services.	build/compatibility/bios-boundary/457/screens.txt
0601	NOT GUARANTEED	O	BIOS implementation details remain profile-specific	BIOS internals vary by profile	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0602	REQUIRED	P	Function 40 selector and input	Function 40 consumed scratch FCB	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0603	REQUIRED	P	Function 40 allocation-block zero fill	Intervening records were zero	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0604	NOT GUARANTEED	O	Function 40 is not universal sparse-hole materialization	Sparse-hole behavior varies	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0605	REQUIRED	P	Function 40 result family	Function 40 returned success	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0606	REQUIRED	P	BIOS character services are raw device interfaces	Direct BIOS TAB remained a raw byte while BDOS console TAB expanded; public logical character interfaces checked separately.	build/compatibility/run-20260907-224546/CONSTEST_0077/final.txt
0607	REQUIRED	P	Character devices remain distinct runtime paths	Distinct console, reader, punch and list endpoints exercised through the real BDOS with declared public-vector instruments; no physical printer qualification claimed.	build/compatibility/run-20260907-233043/MORECHAR/rows.txt
0608	REQUIRED	P	IOBYTE reassignment is runtime visible	IOBYTE reassignment was visible	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0609	REQUIRED	P	IOBYTE access coherence	IOBYTE read/write was coherent	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0610	REQUIRED	P	Field-preserving assignment changes	Other IOBYTE fields preserved	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0611	NOT GUARANTEED	O	IOBYTE assignment does not validate device presence	Assignment need not prove I/O	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0612	REQUIRED	F	STAT device-assignment semantics	STAT device-assignment utility is absent from the supplied system image.	build/compatibility/ccp-20260907-234543/missingtools/screens.txt
0613	REQUIRED	P	Parameterized disk-structure coherence	Disk parameter block available	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0614	REQUIRED	P	DPB-dependent directory allocation-map width	DPB block mask/limits coherent	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0615	REQUIRED	P	Logical directory placement	Logical disk structures followed	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0616	NOT GUARANTEED	O	Raw-format universality	Raw disk format is nonportable	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0617	REQUIRED	P	Direct-structure caller responsibility	Active DPH/DPB contract followed	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0618	NOT GUARANTEED	O	Damaged-directory recovery	Damaged-directory recovery behavior is not guaranteed	followup/ERRTEST_SAFE_v2/screens.txt
0619	NOT GUARANTEED	O	Private BDOS target is not an application gateway	Private BDOS is not a gateway	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0620	REQUIRED	F	DRI submitted-command stream	SUBMIT and XSUB are absent; submitted-command and transient buffered-input scenarios cannot execute in this distribution.	build/compatibility/ccp-20260907-234543/missingtools/screens.txt
0621	REQUIRED	F	XSUB buffered-input compatibility	SUBMIT and XSUB are absent; submitted-command and transient buffered-input scenarios cannot execute in this distribution.	build/compatibility/ccp-20260907-234543/missingtools/screens.txt
0622	REQUIRED	P	Self-modifying transient execution	Modified code executed at two TPA locations	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0623	REQUIRED	P	Intel 8080-compatible binary execution baseline	Register, ALU, memory, stack and CALL/RET signatures agreed	captured/CPUTEST_ALL/screens.txt
0624	REQUIRED	P	Declared processor-profile instruction semantics	ADC, INR carry preservation and DAA semantics agreed	captured/CPUTEST_ALL/screens.txt
0625	OUTSIDE SCOPE	-	Z80 extensions outside a generic CP/M claim	Z80 extensions are outside the generic CP/M claim	captured/CPUTEST_ALL/screens.txt
0626	NOT GUARANTEED	O	Undocumented processor behavior	Undocumented processor behavior is not guaranteed	captured/CPUTEST_ALL/screens.txt
0627	OUTSIDE SCOPE	-	Processor timing and interrupt topology	Timing and interrupt topology require a hardware profile	captured/CPUTEST_ALL/screens.txt
